game_id,round,timestamp,agent_id,agent_type,bid,is_winner,agent_params
game_20260205_233151,0,2026-02-05T23:31:51.907241,0,UniformRandomAgent,7,False,{}
game_20260205_233151,0,2026-02-05T23:31:51.907241,1,UniformRandomAgent,20,False,{}
game_20260205_233151,0,2026-02-05T23:31:51.907241,2,UniformRandomAgent,29,False,{}
game_20260205_233151,0,2026-02-05T23:31:51.907241,3,PowerLawAgent,3,False,"{""alpha"": 0.5}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,4,PowerLawAgent,20,False,"{""alpha"": 0.5}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,5,PowerLawAgent,6,False,"{""alpha"": 1.0}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,6,PowerLawAgent,3,False,"{""alpha"": 1.0}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,7,PowerLawAgent,1,False,"{""alpha"": 2.0}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,8,PowerLawAgent,1,False,"{""alpha"": 2.0}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,9,ThresholdAgent,5,True,"{""T"": 10, ""rho"": 0.8}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,10,ThresholdAgent,2,False,"{""T"": 10, ""rho"": 0.8}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,11,ThresholdAgent,24,False,"{""T"": 20, ""rho"": 0.5}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,12,ThresholdAgent,3,False,"{""T"": 20, ""rho"": 0.5}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,13,EmpiricalFrequencyAgent,24,False,"{""beta"": 0.5}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,14,EmpiricalFrequencyAgent,12,False,"{""beta"": 0.5}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,15,EmpiricalFrequencyAgent,30,False,"{""beta"": 2.0}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,16,BestResponseAgent,6,False,"{""beta"": 1.0}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,17,BestResponseAgent,2,False,"{""beta"": 1.0}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,18,ReinforcementLearningAgent,28,False,"{""beta"": 1.0, ""eta"": 0.1}"
game_20260205_233151,0,2026-02-05T23:31:51.907241,19,ReinforcementLearningAgent,21,False,"{""beta"": 1.0, ""eta"": 0.1}"
game_20260205_233151,1,2026-02-05T23:31:51.908168,0,UniformRandomAgent,1,False,{}
game_20260205_233151,1,2026-02-05T23:31:51.908168,1,UniformRandomAgent,12,False,{}
