game_id,round,timestamp,num_agents,has_winner,winner_id,winner_bid,winner_agent_type,unique_count
game_20260205_233151,0,2026-02-05T23:31:51.907241,20,True,9,5,ThresholdAgent,7
game_20260205_233151,1,2026-02-05T23:31:51.908168,20,True,5,2,PowerLawAgent,5
game_20260205_233151,2,2026-02-05T23:31:51.909021,20,True,8,2,PowerLawAgent,11
game_20260205_233151,3,2026-02-05T23:31:51.909871,20,True,3,7,PowerLawAgent,11
game_20260205_233151,4,2026-02-05T23:31:51.910737,20,True,4,3,PowerLawAgent,8
game_20260205_233151,5,2026-02-05T23:31:51.911616,20,True,15,6,EmpiricalFrequencyAgent,6
game_20260205_233151,6,2026-02-05T23:31:51.912505,20,True,8,2,PowerLawAgent,12
game_20260205_233151,7,2026-02-05T23:31:51.913506,20,True,8,1,PowerLawAgent,12
game_20260205_233151,8,2026-02-05T23:31:51.914485,20,True,11,2,ThresholdAgent,13
game_20260205_233151,9,2026-02-05T23:31:51.915445,20,True,3,3,PowerLawAgent,10
game_20260205_233151,10,2026-02-05T23:31:51.916462,20,True,17,3,BestResponseAgent,12
game_20260205_233151,11,2026-02-05T23:31:51.917453,20,True,10,2,ThresholdAgent,10
game_20260205_233151,12,2026-02-05T23:31:51.918457,20,True,9,9,ThresholdAgent,7
game_20260205_233151,13,2026-02-05T23:31:51.919758,20,True,8,1,PowerLawAgent,11
game_20260205_233151,14,2026-02-05T23:31:51.920954,20,True,7,1,PowerLawAgent,7
game_20260205_233151,15,2026-02-05T23:31:51.922031,20,True,7,1,PowerLawAgent,8
game_20260205_233151,16,2026-02-05T23:31:51.923132,20,True,7,1,PowerLawAgent,9
game_20260205_233151,17,2026-02-05T23:31:51.924221,20,True,7,2,PowerLawAgent,11
game_20260205_233151,18,2026-02-05T23:31:51.925317,20,True,14,2,EmpiricalFrequencyAgent,10
game_20260205_233151,19,2026-02-05T23:31:51.926436,20,True,10,3,ThresholdAgent,12
game_20260205_233151,20,2026-02-05T23:31:51.927567,20,True,3,2,PowerLawAgent,10
game_20260205_233151,21,2026-02-05T23:31:51.928717,20,True,12,5,ThresholdAgent,10
